date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:01:10	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Aug%202020%2013:01:10%20GMT	https://www.yinigeria.com.ng/css/images/ui-bg_glass_85_dfeffc_1x400.png	/home/diane/websites/yinvator/www.yinigeria.com.ng/css/images/ui-bg_glass_85_dfeffc_1x400.png	(from https://www.yinigeria.com.ng/css/jquery-ui.css)
14:01:10	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2002%20Aug%202020%2013:01:10%20GMT	https://www.yinigeria.com.ng/images/slider10.jpg	/home/diane/websites/yinvator/www.yinigeria.com.ng/images/slider10.jpg	(from https://www.yinigeria.com.ng/)
14:01:11	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2002%20Aug%202020%2013:01:10%20GMT	https://www.yinigeria.com.ng/images/advisers1.jpg	/home/diane/websites/yinvator/www.yinigeria.com.ng/images/advisers1.jpg	(from https://www.yinigeria.com.ng/)
14:01:11	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Aug%202020%2013:01:10%20GMT	https://www.yinigeria.com.ng/css/images/ui-bg_glass_75_d0e5f5_1x400.png	/home/diane/websites/yinvator/www.yinigeria.com.ng/css/images/ui-bg_glass_75_d0e5f5_1x400.png	(from https://www.yinigeria.com.ng/css/jquery-ui.css)
14:01:11	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2002%20Aug%202020%2013:01:11%20GMT	https://www.yinigeria.com.ng/images/advisers2.jpg	/home/diane/websites/yinvator/www.yinigeria.com.ng/images/advisers2.jpg	(from https://www.yinigeria.com.ng/)
14:01:11	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Aug%202020%2013:01:11%20GMT	https://www.yinigeria.com.ng/css/images/ui-bg_inset-hard_100_f5f8f9_1x100.png	/home/diane/websites/yinvator/www.yinigeria.com.ng/css/images/ui-bg_inset-hard_100_f5f8f9_1x100.png	(from https://www.yinigeria.com.ng/css/jquery-ui.css)
14:01:11	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2002%20Aug%202020%2013:01:11%20GMT	https://www.yinigeria.com.ng/images/advisers3.jpg	/home/diane/websites/yinvator/www.yinigeria.com.ng/images/advisers3.jpg	(from https://www.yinigeria.com.ng/)
14:01:12	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Aug%202020%2013:01:11%20GMT	https://www.yinigeria.com.ng/css/images/ui-bg_glass_95_fef1ec_1x400.png	/home/diane/websites/yinvator/www.yinigeria.com.ng/css/images/ui-bg_glass_95_fef1ec_1x400.png	(from https://www.yinigeria.com.ng/css/jquery-ui.css)
14:01:12	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2002%20Aug%202020%2013:01:11%20GMT	https://www.yinigeria.com.ng/images/advisers4.jpg	/home/diane/websites/yinvator/www.yinigeria.com.ng/images/advisers4.jpg	(from https://www.yinigeria.com.ng/)
14:01:12	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Aug%202020%2013:01:12%20GMT	https://www.yinigeria.com.ng/css/images/ui-icons_469bdd_256x240.png	/home/diane/websites/yinvator/www.yinigeria.com.ng/css/images/ui-icons_469bdd_256x240.png	(from https://www.yinigeria.com.ng/css/jquery-ui.css)
